¦~«×´Á§O,¿¤¥«§O,­×½Ò¤H¦¸¦X­p,¨k©Ê­×½Ò¤H¦¸,¤k©Ê­×½Ò¤H¦¸,¨k©Ê­×½Ò¤ñ²v,¤k©Ê­×½Ò¤ñ²v
109¦~¬K©u¯Z ( §t´H°²¯Z ),»O¥_¥«,"47,450","12,961","34,441",27.30%,72.60%
109¦~¬K©u¯Z ( §t´H°²¯Z ),»O¤¤¥«,"19,120","4,645","14,480",24.30%,75.70%
109¦~¬K©u¯Z ( §t´H°²¯Z ),°ò¶©¥«,"1,553",395,"1,156",25.40%,74.40%
109¦~¬K©u¯Z ( §t´H°²¯Z ),»O«n¥«,"12,094","3,154","8,937",26.10%,73.90%
109¦~¬K©u¯Z ( §t´H°²¯Z ),°ª¶¯¥«,"6,327","1,785","4,542",28.20%,71.80%
109¦~¬K©u¯Z ( §t´H°²¯Z ),·s¥_¥«,"16,579","4,392","12,181",26.50%,73.50%
109¦~¬K©u¯Z ( §t´H°²¯Z ),©yÄõ¿¤,"3,956","1,304","2,652",33.00%,67.00%
109¦~¬K©u¯Z ( §t´H°²¯Z ),®ç¶é¥«,"16,284","3,795","11,810",23.30%,72.50%
109¦~¬K©u¯Z ( §t´H°²¯Z ),¹Å¸q¥«,"3,728","1,196","2,532",32.10%,67.90%
109¦~¬K©u¯Z ( §t´H°²¯Z ),·s¦Ë¿¤,"3,318","1,019","2,294",30.70%,69.10%
109¦~¬K©u¯Z ( §t´H°²¯Z ),­]®ß¿¤,"5,778","1,736","4,061",30.00%,70.30%
109¦~¬K©u¯Z ( §t´H°²¯Z ),«n§ë¿¤,"4,690","1,519","3,110",32.40%,66.30%
109¦~¬K©u¯Z ( §t´H°²¯Z ),¹ü¤Æ¿¤,"15,749","3,998","11,748",25.40%,74.60%
109¦~¬K©u¯Z ( §t´H°²¯Z ),·s¦Ë¥«,"5,233","1,347","3,789",25.70%,72.40%
109¦~¬K©u¯Z ( §t´H°²¯Z ),¶³ªL¿¤,"3,933","1,041","2,891",26.50%,73.50%
109¦~¬K©u¯Z ( §t´H°²¯Z ),¹Å¸q¿¤,"1,443",242,"1,201",16.80%,83.20%
109¦~¬K©u¯Z ( §t´H°²¯Z ),«ÌªF¿¤,"4,328","1,019","3,323",23.50%,76.80%
109¦~¬K©u¯Z ( §t´H°²¯Z ),ªá½¬¿¤,713,146,567,20.50%,79.50%
109¦~¬K©u¯Z ( §t´H°²¯Z ),»OªF¿¤,208,624,831,300.00%,399.50%
109¦~¬K©u¯Z ( §t´H°²¯Z ),ª÷ªù¿¤,"1,127",242,885,21.50%,78.50%
109¦~¬K©u¯Z ( §t´H°²¯Z ),¼ê´ò¿¤,509,107,402,21.00%,79.00%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,»O¥_¥«,"58,694","15,164","42,895",25.80%,73.10%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,»O¤¤¥«,"21,596","5,022","16,568",23.30%,76.70%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,°ò¶©¥«,"2,356",511,"1,841",21.70%,78.10%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,»O«n¥«,"13,249","3,384","9,872",25.50%,74.50%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,°ª¶¯¥«,"9,537","2,615","6,931",27.40%,72.70%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,·s¥_¥«,"26,559","6,818","19,747",25.70%,74.40%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,©yÄõ¿¤,"3,860","1,257","2,603",32.60%,67.40%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,®ç¶é¥«,"21,549","4,955","15,923",23.00%,73.90%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,¹Å¸q¥«,"5,071","1,386","3,686",27.30%,72.70%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,·s¦Ë¿¤,"3,953","1,141","2,810",28.90%,71.10%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,­]®ß¿¤,"5,350","1,653","3,698",30.90%,69.10%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,«n§ë¿¤,"3,251","1,081","2,138",33.30%,65.80%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,¹ü¤Æ¿¤,"15,798","3,862","11,936",24.40%,75.60%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,·s¦Ë¥«,"7,729","2,108","5,618",27.30%,72.70%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,¶³ªL¿¤,"4,682","1,288","3,409",27.50%,72.80%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,¹Å¸q¿¤,"1,897",259,"1,638",13.70%,86.30%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,«ÌªF¿¤,"4,422","1,108","3,314",25.10%,74.90%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,ªá½¬¿¤,"1,354",323,"1,031",23.90%,76.10%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,»OªF¿¤,"1,091",270,821,24.70%,75.30%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,ª÷ªù¿¤,"1,172",201,971,17.20%,82.80%
109¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,¼ê´ò¿¤,543,151,392,27.80%,72.20%
109¦~«×¬î©u¯Z(§t´»°²¯Z)_«n§ë¿B¤ô·Ë ,«n§ë¿¤,"1,793",451,"1,309",25.20%,73.00%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
